     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
    17803.69        20.57        22.79        22.86        23.23        23.24        22.40
    17806.20        20.57        22.64        22.72        23.23        23.24        22.40
    17808.72        20.57        22.79        22.86        23.23        23.24        22.45
    17811.25        20.57        22.79        22.72        23.37        23.39        22.45
    17813.73        20.57        22.64        22.86        23.23        23.39        22.45
    17816.25        20.57        22.79        22.72        23.23        23.39        22.45
    17818.75        20.57        22.64        22.86        23.23        23.39        22.40
    17821.27        20.57        22.64        22.86        23.23        23.24        22.40
    17823.77        20.57        22.64        22.72        23.37        23.39        22.45
    17826.28        20.57        22.79        22.72        23.23        23.24        22.45
    17828.78        20.72        22.64        22.72        23.23        23.39        22.45
    17831.31        20.57        22.64        22.72        23.23        23.24        22.45
    17833.81        20.57        22.95        23.00        23.37        23.39        22.30
    17836.33        20.57        22.79        22.86        23.23        23.24        22.40
    17838.85        20.57        22.79        22.86        23.23        23.39        22.40
    17841.37        20.57        22.64        22.86        23.23        23.24        22.45
    17843.87        20.57        22.64        22.86        23.23        23.39        22.45
    17846.38        20.57        22.64        22.72        23.23        23.24        22.40
    17848.91        20.72        22.64        22.72        23.23        23.24        22.35
    17851.42        20.57        22.64        22.86        23.23        23.39        22.40
    17853.94        20.57        22.64        22.72        23.37        23.39        22.45
    17856.48        20.57        22.64        22.72        23.23        23.24        22.40
    17858.96        20.72        22.79        22.86        23.23        23.24        22.45
    17861.47        20.57        22.79        22.86        23.23        23.24        22.40
    17863.98        20.57        22.79        22.86        23.23        23.39        22.45
    17866.49        20.57        22.64        22.72        23.23        23.24        22.45
    17868.99        20.57        22.64        22.72        23.23        23.39        22.40
    17871.51        20.57        22.64        22.72        23.23        23.24        22.35
    17874.02        20.57        22.64        22.72        23.23        23.24        22.35
    17876.55        20.72        22.64        22.72        23.23        23.39        22.40
    17879.04        20.57        22.79        22.86        23.23        23.39        22.30
    17881.55        20.57        22.64        22.72        23.37        23.39        22.40
    17884.06        20.57        22.64        22.72        23.23        23.39        22.35
    17886.58        20.57        22.79        22.86        23.23        23.39        22.40
    17889.11        20.57        22.64        22.72        23.23        23.24        22.40
    17891.62        20.57        22.64        22.72        23.23        23.24        22.45
    17894.14        20.57        22.79        22.86        23.23        23.39        22.40
    17896.67        20.57        22.64        22.86        23.23        23.39        22.40
    17899.17        20.57        22.49        22.86        23.23        23.24        22.40
    17901.71        20.57        22.64        22.86        23.23        23.39        22.40
    17904.27        20.57        22.64        22.86        23.23        23.39        22.40
    17906.77        20.72        22.64        22.72        23.37        23.39        22.40
    17909.29        20.57        22.79        22.86        23.23        23.39        22.40
    17911.83        20.57        22.64        22.72        23.23        23.24        22.45
    17914.34        20.57        22.64        22.72        23.23        23.39        22.40
    17916.90        20.57        22.64        22.72        23.23        23.24        22.35
    17919.42        20.57        22.49        22.72        23.23        23.24        22.40
    17921.93        20.72        22.79        22.86        23.37        23.24        22.45
    17924.45        20.57        22.64        22.72        23.37        23.39        22.40
    17926.99        20.72        22.79        22.86        23.23        23.24        22.45
    17929.49        20.57        22.64        22.72        23.37        23.24        22.45
    17932.04        20.57        22.64        22.72        23.23        23.24        22.40
    17934.55        20.57        22.64        22.72        23.23        23.24        22.45
    17937.07        20.57        22.64        22.86        23.23        23.39        22.40
    17939.58        20.72        22.79        22.72        23.23        23.39        22.45
    17942.11        20.57        22.64        22.86        23.23        23.24        22.45
    17944.61        20.57        22.64        22.86        23.23        23.39        22.40
    17947.17        20.57        22.79        22.86        23.23        23.24        22.40
    17949.68        20.57        22.79        22.86        23.23        23.39        22.40
    17952.23        20.57        22.64        22.72        23.23        23.24        22.30
    17954.74        20.57        22.79        22.86        23.23        23.39        22.40
    17957.27        20.57        22.79        22.72        23.23        23.24        22.40
    17959.79        20.57        22.64        22.86        23.23        23.39        22.40
    17962.32        20.57        22.64        22.72        23.23        23.24        22.35
    17964.84        20.57        22.64        22.86        23.23        23.39        22.45
    17967.37        20.57        22.64        22.72        23.37        23.24        22.40
    17969.88        20.57        22.79        22.72        23.23        23.39        22.40
    17972.41        20.57        22.64        22.72        23.37        23.24        22.40
    17974.93        20.57        22.64        22.86        23.23        23.24        22.35
    17977.46        20.57        22.64        22.72        23.23        23.24        22.40
    17979.98        20.57        22.64        22.72        23.23        23.24        22.40
    17982.52        20.57        22.64        22.72        23.37        23.24        22.35
    17985.02        20.57        22.64        22.72        23.23        23.24        22.40
    17987.57        20.57        22.64        22.72        23.23        23.24        22.45
    17990.10        20.57        22.64        22.72        23.23        23.39        22.40
    17992.62        20.57        22.64        22.86        23.23        23.39        22.40
    17995.15        20.57        22.64        22.86        23.23        23.24        22.40
    17997.68        20.57        22.64        22.86        23.23        23.24        22.45
    18000.21        20.57        22.64        22.86        23.23        23.24        22.45
    18002.74        20.57        22.64        22.86        23.23        23.24        22.50
    18005.26        20.57        22.64        22.72        23.23        23.24        22.45
    18007.80        20.57        22.64        22.86        23.23        23.24        22.50
    18010.31        20.57        22.64        22.72        23.23        23.24        22.45
    18012.85        20.57        22.64        22.72        23.23        23.39        22.45
    18015.37        20.57        22.64        22.72        23.23        23.39        22.45
    18017.90        20.57        22.79        22.86        23.23        23.24        22.45
    18020.42        20.57        22.64        22.72        23.23        23.24        22.40
    18022.94        20.57        22.64        22.86        23.23        23.24        22.45
    18025.48        20.57        22.64        22.72        23.23        23.24        22.45
    18028.01        20.57        22.64        22.86        23.23        23.24        22.45
    18030.54        20.57        22.79        22.86        23.23        23.24        22.40
    18033.05        20.57        22.79        22.72        23.23        23.24        22.45
    18035.57        20.57        22.79        22.86        23.23        23.24        22.45
    18038.11        20.57        22.64        22.86        23.23        23.24        22.45
    18040.63        20.57        22.64        22.86        23.23        23.24        22.40
    18043.17        20.57        22.64        22.86        23.23        23.24        22.45
    18045.69        20.57        22.64        22.86        23.23        23.24        22.45
    18048.24        20.57        22.79        22.72        23.23        23.24        22.35
    18050.74        20.72        22.79        22.86        23.23        23.24        22.40
    18053.27        20.57        22.64        22.72        23.23        23.24        22.45
    18055.79        20.57        22.64        22.72        23.23        23.24        22.35
    18058.31        20.57        22.64        22.72        23.23        23.24        22.40
    18060.82        20.57        22.64        22.86        23.23        23.39        22.40
    18063.36        20.57        22.64        22.86        23.23        23.39        22.40
    18065.89        20.57        22.79        22.86        23.23        23.24        22.35
    18068.43        20.57        22.64        22.72        23.23        23.24        22.40
    18070.95        20.57        22.64        22.86        23.23        23.39        22.40
    18073.50        20.57        22.64        22.86        23.23        23.39        22.45
    18076.02        20.57        22.64        22.72        23.23        23.24        22.35
    18078.56        20.57        22.64        22.72        23.23        23.24        22.45
    18081.09        20.57        22.79        22.86        23.23        23.24        22.45
    18083.63        20.57        22.79        22.72        23.23        23.24        22.45
    18086.15        20.72        22.64        22.86        23.23        23.39        22.45
    18088.70        20.57        22.64        22.72        23.23        23.24        22.45
    18091.22        20.57        22.79        22.86        23.23        23.24        22.40
    18093.76        20.57        22.64        22.86        23.23        23.24        22.40
    18096.27        20.41        22.64        22.72        23.23        23.39        22.40
    18098.82        20.57        22.79        22.86        23.23        23.39        22.40
    18101.37        20.72        22.64        22.86        23.23        23.24        22.40
    18103.92        20.57        22.79        22.86        23.23        23.24        22.40
    18106.46        20.57        22.64        22.86        23.23        23.39        22.50
    18109.01        20.57        22.64        22.86        23.23        23.24        22.40
    18111.53        20.41        22.64        22.72        23.23        23.24        22.40
    18114.06        20.57        22.64        22.72        23.23        23.39        22.40
    18116.58        20.72        22.79        22.86        23.23        23.39        22.40
    18119.14        20.57        22.79        22.72        23.23        23.24        22.40
    18121.66        20.57        22.64        22.86        23.23        23.39        22.40
    18124.19        20.57        22.64        22.72        23.23        23.39        22.40
    18126.73        20.57        22.64        22.72        23.23        23.24        22.40
    18129.29        20.57        22.79        22.72        23.23        23.24        22.40
    18131.82        20.57        22.79        22.86        23.23        23.24        22.45
    18134.36        20.72        22.79        22.72        23.23        23.39        22.40
    18136.88        20.57        22.64        22.86        23.23        23.24        22.40
    18139.42        20.41        22.64        22.72        23.23        23.24        22.40
    18141.95        20.57        22.64        22.72        23.37        23.39        22.45
    18144.49        20.57        22.64        22.86        23.23        23.39        22.40
    18147.01        20.57        22.64        22.72        23.23        23.24        22.40
    18149.56        20.57        22.64        22.72        23.23        23.24        22.45
    18152.08        20.57        22.79        22.86        23.23        23.24        22.40
    18154.66        20.57        22.64        22.72        23.08        23.24        22.40
    18157.25        20.57        22.64        22.72        23.23        23.24        22.30
    18159.78        20.57        22.64        22.86        23.23        23.24        22.45
    18162.31        20.57        22.79        22.86        23.23        23.24        22.35
    18164.83        20.72        22.79        22.86        23.23        23.24        22.45
    18167.37        20.57        22.79        22.86        23.23        23.39        22.40
    18169.90        20.57        22.64        22.86        23.23        23.24        22.45
    18172.43        20.57        22.64        22.86        23.23        23.24        22.40
    18174.96        20.57        22.64        22.72        23.23        23.39        22.35
    18177.50        20.57        22.64        22.72        23.23        23.24        22.40
    18180.00        20.57        22.79        22.86        23.23        23.24        22.35
    18182.54        20.57        22.64        22.72        23.08        23.24        22.40
    18185.07        20.57        22.64        22.72        23.23        23.39        22.40
    18187.64        20.57        22.64        22.72        23.08        23.24        22.40
    18190.17        20.57        22.79        22.72        23.23        23.39        22.40
    18192.72        20.57        22.64        22.86        23.23        23.39        22.45
    18195.24        20.57        22.79        22.86        23.23        23.24        22.40
    18197.78        20.57        22.64        22.86        23.23        23.24        22.40
    18200.32        20.57        22.64        22.72        23.23        23.24        22.40
    18202.87        20.57        22.79        22.86        23.08        23.24        22.45
    18205.42        20.57        22.64        22.86        23.23        23.24        22.40
    18207.97        20.57        22.79        22.86        23.23        23.24        22.40
    18210.52        20.57        22.64        22.72        23.37        23.54        22.25
    18213.06        20.57        22.79        22.86        23.08        23.24        22.40
    18215.60        20.57        22.79        23.00        23.37        23.39        22.30
    18218.17        20.57        22.79        22.72        23.23        23.24        22.35
    18220.69        20.57        22.64        22.72        23.23        23.39        22.40
    18223.25        20.57        22.64        22.72        23.23        23.24        22.40
    18225.78        20.57        22.64        22.72        23.23        23.39        22.40
    18228.33        20.72        22.64        22.72        23.23        23.39        22.40
    18230.86        20.72        22.79        22.72        23.23        23.39        22.45
    18233.40        20.57        22.64        22.86        23.23        23.24        22.35
    18235.93        20.57        22.64        22.86        23.08        23.39        22.40
    18238.49        20.57        22.64        22.72        23.23        23.39        22.40
    18241.02        20.57        22.64        22.86        23.23        23.39        22.40
    18243.57        20.57        22.64        22.86        23.23        23.24        22.40
    18246.11        20.57        22.79        22.86        23.37        23.39        22.25
    18248.74        20.57        22.79        22.86        23.23        23.39        22.25
    18251.30        20.57        22.64        22.72        23.23        23.24        22.35
    18253.85        20.57        22.64        22.86        23.23        23.24        22.40
    18256.40        20.57        22.64        22.72        23.23        23.24        22.40
    18258.98        20.57        22.79        22.86        23.23        23.24        22.40
    18261.53        20.57        22.64        22.72        23.23        23.24        22.40
    18264.08        20.57        22.64        22.72        23.23        23.39        22.40
    18266.61        20.57        22.64        22.86        23.23        23.24        22.40
    18269.18        20.57        22.64        22.72        23.23        23.24        22.35
    18271.72        20.57        22.64        22.72        23.23        23.39        22.40
    18274.29        20.57        22.64        22.72        23.23        23.39        22.40
    18276.83        20.57        22.64        22.86        23.37        23.24        22.40
    18279.38        20.57        22.64        22.86        23.23        23.24        22.40
    18281.93        20.72        22.79        22.86        23.23        23.39        22.35
    18284.49        20.57        22.64        22.86        23.37        23.24        22.40
    18287.02        20.57        22.64        22.72        23.23        23.24        22.35
    18289.58        20.57        22.79        22.86        23.37        23.24        22.35
    18292.13        20.57        22.79        22.86        23.23        23.24        22.40
    18294.69        20.57        22.64        22.72        23.23        23.24        22.40
    18297.21        20.72        22.79        22.86        23.37        23.39        22.25
    18299.78        20.57        22.64        22.86        23.37        23.24        22.35
    18302.32        20.57        22.79        22.72        23.23        23.39        22.35
    18304.89        20.57        22.64        22.86        23.23        23.39        22.30
    18307.43        20.57        22.64        22.86        23.23        23.24        22.40
    18309.99        20.57        22.64        22.72        23.37        23.39        22.35
    18312.53        20.57        22.64        22.86        23.23        23.39        22.35
    18315.08        20.72        22.64        22.86        23.23        23.39        22.35
    18317.62        20.57        22.79        22.86        23.23        23.39        22.35
    18320.18        20.57        22.49        22.86        23.23        23.39        22.35
    18322.73        20.57        22.64        22.72        23.23        23.39        22.35
    18325.29        20.57        22.64        22.86        23.23        23.39        22.35
    18327.83        20.72        22.64        22.86        23.37        23.39        22.35
    18330.37        20.57        22.64        22.72        23.23        23.24        22.40
    18332.91        20.72        22.79        22.72        23.23        23.39        22.35
    18335.45        20.57        22.64        22.72        23.23        23.39        22.40
    18337.99        20.57        22.64        22.86        23.23        23.24        22.40
    18340.56        20.72        22.64        22.86        23.08        23.24        22.40
    18343.10        20.57        22.64        22.86        23.23        23.24        22.40
    18345.67        20.57        22.64        22.72        23.23        23.24        22.35
    18348.20        20.57        22.64        22.72        23.23        23.39        22.45
    18350.77        20.57        22.79        22.86        23.23        23.24        22.40
    18353.32        20.57        22.64        22.86        23.23        23.24        22.35
    18355.88        20.57        22.64        22.86        23.23        23.24        22.35
    18358.42        20.72        22.64        22.72        23.23        23.39        22.45
    18361.01        20.72        22.64        22.72        23.23        23.39        22.40
    18363.56        20.57        22.64        22.86        23.23        23.39        22.40
    18366.13        20.72        22.64        22.86        23.23        23.39        22.40
    18368.68        20.57        22.79        22.86        23.23        23.24        22.40
    18371.23        20.57        22.64        22.86        23.23        23.39        22.35
    18373.78        20.72        22.64        22.86        23.23        23.24        22.30
    18376.34        20.57        22.64        22.86        23.23        23.24        22.35
    18378.90        20.57        22.64        22.72        23.23        23.24        22.40
    18381.44        20.72        22.64        22.72        23.23        23.39        22.35
    18384.01        20.57        22.79        22.86        23.23        23.39        22.35
    18386.56        20.57        22.64        22.86        23.23        23.39        22.35
    18389.11        20.57        22.64        22.72        23.23        23.39        22.35
    18391.66        20.57        22.64        22.72        23.23        23.39        22.30
    18394.23        20.57        22.64        22.72        23.23        23.39        22.40
    18396.77        20.57        22.64        22.86        23.23        23.39        22.35
    18399.35        20.57        22.79        22.86        23.37        23.39        22.35
    18401.91        20.57        22.79        22.86        23.37        23.39        22.35
    18404.47        20.57        22.64        22.86        23.23        23.39        22.35
    18407.01        20.57        22.64        22.86        23.23        23.39        22.30
    18409.58        20.57        22.64        22.86        23.23        23.24        22.30
    18412.14        20.57        22.64        22.72        23.23        23.24        22.35
    18414.70        20.57        22.64        22.72        23.23        23.24        22.35
    18417.24        20.57        22.64        22.72        23.23        23.24        22.40
    18419.81        20.57        22.64        22.72        23.37        23.39        22.40
    18422.37        20.57        22.64        22.86        23.23        23.24        22.40
    18424.93        20.57        22.64        22.72        23.23        23.39        22.40
    18427.48        20.72        22.64        22.72        23.23        23.24        22.30
    18430.05        20.57        22.64        22.72        23.23        23.39        22.40
    18432.60        20.57        22.64        22.72        23.23        23.24        22.35
    18435.19        20.72        22.79        22.86        23.23        23.39        22.35
    18437.75        20.72        22.64        22.86        23.23        23.39        22.35
    18440.31        20.57        22.79        22.72        23.23        23.24        22.40
    18442.88        20.57        22.64        22.72        23.37        23.39        22.35
    18445.47        20.57        22.64        22.86        23.23        23.39        22.35
    18448.01        20.57        22.64        22.86        23.23        23.39        22.35
    18450.57        20.72        22.64        22.86        23.23        23.39        22.40
    18453.14        20.57        22.79        22.86        23.23        23.39        22.40
    18455.70        20.72        22.64        22.86        23.23        23.39        22.40
    18458.26        20.57        22.64        22.86        23.23        23.39        22.30
    18460.84        20.72        22.64        22.86        23.23        23.39        22.40
    18463.41        20.57        22.64        22.72        23.23        23.39        22.40
    18465.98        20.57        22.64        22.86        23.23        23.39        22.45
    18468.53        20.57        22.64        22.86        23.23        23.39        22.35
    18471.11        20.57        22.64        22.72        23.23        23.24        22.40
    18473.68        20.57        22.79        22.86        23.23        23.24        22.35
    18476.26        20.57        22.64        22.72        23.23        23.39        22.40
    18478.82        20.72        22.79        22.72        23.23        23.24        22.35
    18481.40        20.57        22.64        22.86        23.37        23.39        22.40
    18483.96        20.57        22.64        22.86        23.23        23.39        22.35
    18486.52        20.72        22.64        22.72        23.23        23.24        22.35
    18489.09        20.57        22.79        22.86        23.23        23.39        22.40
    18491.68        20.72        22.64        22.86        23.23        23.39        22.35
    18494.23        20.57        22.64        22.86        23.23        23.39        22.35
    18496.83        20.57        22.64        22.72        23.23        23.24        22.35
    18499.40        20.57        22.64        22.86        23.23        23.24        22.40
    18501.97        20.57        22.64        22.72        23.23        23.39        22.40
    18504.55        20.57        22.64        22.86        23.23        23.24        22.35
    18507.15        20.72        22.64        22.86        23.23        23.39        22.35
    18509.71        20.57        22.64        22.86        23.23        23.39        22.35
    18512.28        20.57        22.64        22.72        23.23        23.24        22.30
    18514.85        20.57        22.64        22.86        23.23        23.39        22.35
    18517.43        20.57        22.64        22.72        23.23        23.24        22.40
    18520.02        20.57        22.64        22.72        23.23        23.39        22.45
    18522.59        20.57        22.64        22.72        23.23        23.24        22.50
    18525.18        20.57        22.64        22.72        23.23        23.39        22.45
    18527.74        20.57        22.64        22.86        23.23        23.39        22.50
    18530.31        20.57        22.64        22.72        23.08        23.24        22.45
    18532.87        20.57        22.64        22.86        23.23        23.24        22.40
    18535.45        20.57        22.64        22.86        23.23        23.39        22.45
    18538.02        20.57        22.79        22.86        23.23        23.39        22.45
    18540.58        20.57        22.79        22.86        23.23        23.39        22.35
    18543.17        20.72        22.64        22.86        23.23        23.24        22.40
    18545.77        20.72        22.79        22.86        23.37        23.39        22.45
    18548.34        20.57        22.79        22.86        23.23        23.24        22.40
    18550.98        20.57        22.64        22.72        23.23        23.39        22.40
    18553.54        20.57        22.64        22.72        23.23        23.39        22.40
    18556.13        20.57        22.64        22.86        23.23        23.39        22.40
    18558.69        20.57        22.79        22.86        23.23        23.39        22.40
    18561.28        20.57        22.79        22.86        23.23        23.39        22.35
    18563.86        20.57        22.79        22.86        23.23        23.24        22.30
    18566.44        20.57        22.64        22.72        23.23        23.39        22.35
    18569.01        20.57        22.64        22.86        23.23        23.24        22.35
    18571.62        20.57        22.64        22.86        23.23        23.24        22.35
    18574.19        20.57        22.64        22.86        23.23        23.39        22.35
    18576.77        20.72        22.64        22.86        23.23        23.24        22.35
    18579.34        20.72        22.79        22.86        23.37        23.24        22.40
    18581.92        20.57        22.64        22.72        23.08        23.39        22.30
    18584.55        20.57        22.49        22.72        23.23        23.24        22.30
    18587.13        20.57        22.64        22.86        23.23        23.39        22.35
    18589.71        20.57        22.64        22.86        23.23        23.24        22.35
    18592.30        20.57        22.64        22.72        23.23        23.24        22.35
    18594.87        20.57        22.64        22.86        23.23        23.39        22.35
    18597.44        20.57        22.64        22.72        23.23        23.24        22.40
    18600.00        20.57        22.64        22.72        23.23        23.24        22.35
    18602.58        20.72        22.64        22.86        23.23        23.24        22.40
    18605.18        20.57        22.64        22.72        23.23        23.39        22.35
    18607.77        20.57        22.64        22.72        23.23        23.39        22.35
    18610.37        20.57        22.49        22.72        23.23        23.39        22.25
    18612.94        20.57        22.64        22.86        23.23        23.24        22.35
    18615.53        20.72        22.64        22.86        23.23        23.24        22.35
    18618.11        20.57        22.64        22.86        23.23        23.39        22.30
    18620.73        20.57        22.64        22.86        23.37        23.24        22.35
    18623.31        20.57        22.64        22.86        23.37        23.24        22.35
    18625.90        20.57        22.64        22.86        23.23        23.39        22.35
    18628.48        20.57        22.49        22.86        23.23        23.39        22.35
    18631.08        20.57        22.64        22.86        23.37        23.39        22.35
    18633.64        20.57        22.64        22.86        23.23        23.24        22.35
    18636.23        20.72        22.64        22.72        23.37        23.24        22.30
    18638.81        20.72        22.64        22.86        23.37        23.24        22.35
    18641.40        20.57        22.49        22.86        23.37        23.39        22.40
    18643.97        20.57        22.64        22.86        23.23        23.39        22.40
    18646.56        20.57        22.64        22.72        23.23        23.39        22.35
    18649.13        20.57        22.49        22.86        23.23        23.39        22.40
    18651.72        20.72        22.64        22.86        23.23        23.24        22.40
    18654.30        20.57        22.64        22.72        23.23        23.39        22.40
    18656.88        20.57        22.64        22.86        23.37        23.24        22.40
    18659.45        20.57        22.64        22.72        23.37        23.24        22.35
    18662.06        20.57        22.49        22.86        23.23        23.24        22.35
    18664.65        20.57        22.64        22.72        23.23        23.39        22.35
    18667.25        20.57        22.64        22.72        23.37        23.39        22.30
    18669.81        20.57        22.64        22.86        23.23        23.39        22.35
    18672.39        20.57        22.64        22.86        23.23        23.24        22.35
    18674.97        20.57        22.64        22.72        23.23        23.39        22.30
    18677.57        20.57        22.49        22.72        23.23        23.39        22.35
    18680.16        20.57        22.64        22.86        23.37        23.39        22.35
    18682.76        20.57        22.64        22.86        23.23        23.24        22.35
    18685.34        20.57        22.64        22.86        23.23        23.39        22.35
    18687.94        20.72        22.64        22.86        23.23        23.24        22.35
    18690.51        20.72        22.64        22.86        23.37        23.39        22.30
    18693.12        20.57        22.64        22.86        23.23        23.24        22.35
    18695.70        20.57        22.64        22.86        23.37        23.39        22.35
    18698.29        20.57        22.64        22.86        23.37        23.24        22.35
    18700.90        20.57        22.49        22.72        23.23        23.24        22.35
    18703.49        20.57        22.64        22.72        23.23        23.39        22.40
    18706.08        20.57        22.64        22.86        23.23        23.24        22.35
    18708.67        20.57        22.64        22.86        23.23        23.39        22.40
    18711.28        20.57        22.64        22.86        23.23        23.39        22.40
    18713.85        20.72        22.64        22.86        23.23        23.39        22.40
    18716.44        20.57        22.64        22.72        23.23        23.39        22.40
    18719.03        20.57        22.64        22.72        23.23        23.39        22.40
    18721.63        20.57        22.64        22.72        23.23        23.39        22.35
    18724.20        20.57        22.49        22.72        23.23        23.24        22.30
    18726.81        20.57        22.79        22.86        23.23        23.39        22.35
    18729.39        20.57        22.64        22.86        23.23        23.39        22.35
    18731.99        20.72        22.64        22.86        23.23        23.24        22.40
    18734.57        20.57        22.49        22.72        23.23        23.39        22.35
    18737.17        20.57        22.64        22.86        23.23        23.39        22.35
    18739.76        20.57        22.64        22.72        23.23        23.24        22.30
    18742.38        20.57        22.64        22.86        23.37        23.24        22.35
    18744.98        20.57        22.64        22.86        23.23        23.39        22.35
    18747.56        20.72        22.64        22.72        23.37        23.39        22.35
    18750.14        20.57        22.64        22.86        23.23        23.39        22.35
    18752.75        20.57        22.64        22.86        23.23        23.39        22.40
    18755.34        20.57        22.64        22.86        23.37        23.39        22.35
    18758.01        20.57        22.64        22.72        23.23        23.24        22.35
    18760.60        20.57        22.64        22.72        23.37        23.24        22.40
    18763.21        20.57        22.64        22.86        23.23        23.24        22.35
    18765.79        20.72        22.64        22.86        23.23        23.39        22.40
    18768.39        20.57        22.64        22.86        23.23        23.39        22.40
    18770.97        20.72        22.64        22.86        23.23        23.24        22.40
    18773.57        20.57        22.64        22.72        23.23        23.24        22.40
    18776.15        20.57        22.64        22.86        23.23        23.39        22.40
    18778.74        20.57        22.64        22.86        23.23        23.24        22.45
    18781.32        20.57        22.64        22.72        23.37        23.39        22.45
    18783.93        20.57        22.64        22.86        23.23        23.24        22.35
    18786.50        20.57        22.64        22.86        23.23        23.39        22.40
    18789.10        20.72        22.64        22.72        23.37        23.24        22.35
    18791.69        20.57        22.64        22.72        23.23        23.24        22.35
    18794.31        20.57        22.64        22.86        23.37        23.24        22.35
    18796.89        20.57        22.64        22.72        23.23        23.39        22.35
    18799.50        20.57        22.64        22.86        23.23        23.24        22.30
    18802.10        20.57        22.64        22.72        23.23        23.39        22.40
    18804.68        20.72        22.64        22.86        23.23        23.39        22.35
    18807.27        20.57        22.64        22.72        23.37        23.24        22.40
    18809.89        20.57        22.64        22.86        23.37        23.24        22.35
    18812.47        20.57        22.64        22.86        23.23        23.39        22.35
    18815.07        20.57        22.64        22.72        23.23        23.39        22.40
    18817.66        20.57        22.64        22.72        23.23        23.24        22.30
    18820.27        20.57        22.64        22.72        23.23        23.39        22.35
    18822.87        20.57        22.64        22.86        23.23        23.39        22.30
    18825.46        20.57        22.64        22.86        23.37        23.39        22.35
    18828.07        20.57        22.64        22.86        23.23        23.24        22.30
    18830.67        20.57        22.64        22.86        23.37        23.24        22.35
    18833.29        20.57        22.79        22.86        23.37        23.24        22.35
    18835.88        20.57        22.64        22.72        23.23        23.39        22.35
    18838.48        20.57        22.64        22.86        23.23        23.39        22.40
    18841.08        20.57        22.64        22.72        23.23        23.39        22.30
    18843.76        20.57        22.64        22.72        23.23        23.39        22.35
    18846.39        20.57        22.64        22.72        23.23        23.39        22.35
    18849.02        20.57        22.64        22.86        23.37        23.24        22.40
    18851.63        20.57        22.64        22.86        23.37        23.39        22.40
    18854.26        20.57        22.64        22.86        23.23        23.24        22.40
    18856.88        20.57        22.64        22.86        23.23        23.39        22.35
    18859.50        20.57        22.64        22.86        23.23        23.39        22.35
    18862.10        20.57        22.64        22.72        23.37        23.39        22.35
    18864.69        20.57        22.79        22.72        23.23        23.24        22.35
    18867.29        20.57        22.64        22.86        23.23        23.24        22.40
    18869.89        20.57        22.64        22.72        23.23        23.39        22.35
    18872.48        20.57        22.64        22.72        23.23        23.39        22.35
    18875.11        20.57        22.64        22.86        23.37        23.39        22.40
    18877.70        20.57        22.49        22.86        23.23        23.39        22.35
    18880.33        20.57        22.49        22.72        23.37        23.39        22.35
    18882.92        20.57        22.79        22.72        23.23        23.39        22.35
    18885.54        20.72        22.79        22.86        23.37        23.39        22.35
    18888.15        20.72        22.64        22.86        23.23        23.24        22.25
    18890.75        20.57        22.64        22.86        23.37        23.39        22.35
    18893.37        20.57        22.64        22.86        23.37        23.39        22.35
    18895.97        20.57        22.64        22.86        23.23        23.24        22.30
    18898.58        20.57        22.64        22.72        23.23        23.24        22.35
    18901.18        20.57        22.64        22.86        23.37        23.24        22.35
    18903.79        20.57        22.64        22.86        23.23        23.39        22.40
    18906.40        20.57        22.64        22.86        23.37        23.24        22.35
    18909.02        20.57        22.64        22.86        23.37        23.39        22.35
    18911.62        20.57        22.64        22.86        23.37        23.39        22.35
    18914.25        20.57        22.64        22.72        23.37        23.39        22.35
    18916.87        20.57        22.64        22.86        23.37        23.39        22.35
    18919.48        20.57        22.64        22.86        23.37        23.24        22.30
    18922.07        20.57        22.64        22.72        23.23        23.39        22.30
    18924.67        20.57        22.64        22.86        23.23        23.24        22.35
    18927.27        20.57        22.64        22.72        23.23        23.24        22.40
    18929.88        20.57        22.64        22.72        23.23        23.39        22.35
    18932.48        20.57        22.64        22.72        23.37        23.24        22.30
    18935.10        20.72        22.64        22.72        23.23        23.39        22.35
    18937.70        20.57        22.64        22.72        23.23        23.24        22.35
    18940.32        20.57        22.64        22.86        23.23        23.24        22.40
    18942.91        20.72        22.64        22.86        23.23        23.39        22.40
    18945.51        20.57        22.79        22.86        23.23        23.24        22.35
    18948.12        20.72        22.64        22.86        23.08        23.39        22.35
    18950.75        20.57        22.64        22.86        23.23        23.39        22.40
    18953.36        20.57        22.64        22.72        23.37        23.39        22.40
    18955.99        20.57        22.64        22.86        23.37        23.39        22.40
    18958.58        20.57        22.64        22.86        23.23        23.39        22.40
    18961.20        20.57        22.64        22.86        23.37        23.39        22.40
    18963.81        20.57        22.64        22.72        23.23        23.39        22.40
    18966.43        20.57        22.64        22.86        23.23        23.24        22.40
    18969.04        20.57        22.64        22.86        23.23        23.24        22.35
    18971.65        20.57        22.64        22.86        23.37        23.39        22.35
    18974.30        20.57        22.64        22.72        23.23        23.24        22.35
    18976.90        20.57        22.64        22.86        23.23        23.39        22.35
    18979.52        20.57        22.64        22.86        23.23        23.24        22.40
    18982.12        20.72        22.64        22.86        23.23        23.24        22.40
    18984.74        20.57        22.64        22.72        23.23        23.39        22.35
    18987.35        20.72        22.64        22.86        23.23        23.39        22.35
    18989.97        20.57        22.64        22.86        23.37        23.24        22.40
    18992.57        20.57        22.64        22.86        23.23        23.39        22.40
